fips,place_name,state_abbr,primary_county_fips,county_name,POPESTIMATE2025,civica_score,market_label,national_rank,town_local_score,county_market_score,rank_in_county,towns_in_county,dim1,dim2,dim3,dim4,dim5,fmr_2br,town_income,rent_burden,hpi_3yr_avg,avg_annual_wage,sector_quality,hhi,town_income_growth,violent_per100k,property_per100k,town_scale_pct,est_per_1k,nfip_per_cap,storm_per_cap,wildfire_rank,crime_imputed,school_score,schools_imputed,town_growth_5yr,town_growth_1yr,town_growth_rel_county,RNETMIG2023,inmover_income_ratio,total_permits,income_imputed,is_mcd
4753460,Nolensville town,TN,47187,Williamson County,15789,87.1932,Strong Buy,1,86.0811,88.7415,1,6,22.9613,21.6584,15.9955,12.7378,13.8403,1730.0,158315.5112,0.1311,5.3733,86075.0,1.0654,1030.3017,0.0558,44.3347,215.3398,77.9276,32.0039,4.7658,13.4434,0.228,0,95.3147,0,0.1248,0.0031,0.0349,11.2331,1.0172,1621.0,0,0
1882700,Westfield city,IN,18057,Hamilton County,66258,84.1236,Strong Buy,2,87.8752,78.9,1,7,20.3768,20.0955,16.9336,13.3294,13.3883,1473.0,152574.6487,0.1159,6.38,68651.0,1.0621,1090.1725,0.052,58.8608,614.2654,94.6931,26.9897,0.0131,3.8562,0.024,0,88.5634,0,0.4092,0.0531,0.3002,14.9285,0.996,4146.0,0,0
3716400,Davidson town,NC,37119,Mecklenburg County,16662,83.7234,Strong Buy,3,81.9028,86.2583,1,7,23.6136,18.818,15.3772,12.3059,13.6087,1686.0,189599.7199,0.1067,5.3667,85620.0,1.0703,1004.9146,-0.1256,48.0134,396.1109,78.8652,29.5707,2.7876,22.9345,0.336,0,91.5254,0,0.1194,0.0202,0.0144,14.9807,0.9912,7496.0,0,0
4773900,Thompson's Station town,TN,47187,Williamson County,9469,83.0776,Strong Buy,4,79.0098,88.7415,2,6,22.7423,19.2979,13.5371,13.8644,13.6359,1730.0,151895.2689,0.1367,5.3733,86075.0,1.0654,1030.3017,-0.015,141.8799,658.6758,68.132,32.0039,4.7658,13.4434,0.228,1,91.8784,0,0.253,0.0436,0.1631,11.2331,1.0172,1621.0,0,0
0182848,Wilsonville town,AL,01117,Shelby County,2015,82.2028,Strong Buy,5,84.7621,78.6394,1,12,21.1671,21.3997,14.2585,11.6042,13.7734,1266.0,93550.4386,0.1624,4.62,66083.0,1.0579,1048.0188,0.1419,0.0,0.0,25.6236,23.5169,9.477,0.2306,0.695,0,93.9807,0,0.0804,0.0281,0.015,9.1956,0.9948,1308.0,0,0
3701520,Apex town,NC,37183,Wake County,80419,82.1507,Strong Buy,6,83.9452,79.6521,1,12,19.5808,19.2789,16.6129,13.4954,13.1827,1750.0,141262.3665,0.1487,3.7567,75482.0,1.0508,1080.1822,0.0233,42.2786,374.2897,95.9137,26.9425,1.6207,1.8505,0.257,0,86.5529,0,0.2325,0.0615,0.1208,17.2051,0.9975,13806.0,0,0
3714700,Cornelius town,NC,37119,Mecklenburg County,35094,82.1364,Strong Buy,7,79.176,86.2583,2,7,23.5207,18.9891,13.8433,12.2254,13.5579,1686.0,182355.5312,0.1109,5.3667,85620.0,1.0703,1004.9146,-0.0696,116.8291,1042.9133,89.3243,29.5707,2.7876,22.9345,0.336,0,90.6566,0,0.1136,0.0224,0.0086,14.9807,0.9912,7496.0,0,0
2929494,Greenwood city,MO,29095,Jackson County,6315,81.6863,Strong Buy,8,82.9187,79.9705,1,13,24.0894,20.022,14.036,10.1754,13.3635,1358.0,135458.4069,0.1203,4.9867,69595.0,1.0532,1205.4932,0.0666,79.1766,475.0594,58.4292,24.846,2.2935,0.0232,0.328,0,88.2594,0,0.0476,0.0102,0.0262,2.547,0.9952,4036.0,0,0
1902305,Ankeny city,IA,19153,Polk County,77833,81.5294,Strong Buy,9,84.4439,77.4713,1,14,22.4841,21.5618,12.8885,11.2575,13.3375,1318.0,115156.8526,0.1373,4.5767,70401.0,1.0528,1080.4321,0.1092,179.8723,1020.1328,95.7014,26.8902,4.0935,160.6943,0.28,0,88.0579,0,0.1336,0.018,0.0859,1.5786,0.9971,4730.0,0,0
2659440,Novi city,MI,26125,Oakland County,67319,81.0873,Strong Buy,10,80.5669,81.8119,1,37,22.4558,19.5739,16.1049,9.2028,13.7499,1411.0,141748.3215,0.1195,5.64,76176.0,1.0673,1192.6537,0.0337,89.1279,658.0609,94.8523,30.8863,0.5008,18.9159,0.092,0,93.5327,0,0.018,0.0059,0.0056,3.8928,0.9982,2023.0,0,0
